Root,Wordlength,Frequency,PercentileFrequency
abracadabra,11,30.27,36.885245901639344
catastrophe,11,1.79,8.079625292740047
escarmouche,11,1.37,5.971896955503513
chiquenaude,11,0.53,3.044496487119438
grenouille,10,69.85,65.33957845433255
coqueluche,10,63.59,62.295081967213115
corbillard,10,61.05,60.42154566744731
guérillero,10,51.71,55.50351288056206
holocauste,10,26.43,32.08430913348946
caricature,10,19.52,21.545667447306794
cellophane,10,17.14,20.60889929742389
rhinocéros,10,8.72,16.393442622950822
ribambelle,10,8.47,16.159250585480095
labyrinthe,10,8.3,15.690866510538642
salamandre,10,5.73,14.519906323185012
diaphragme,10,5.12,13.583138173302109
lieutenant,10,4.81,12.646370023419204
caoutchouc,10,3.53,11.7096018735363
capharnaüm,10,3.39,11.475409836065575
cappuccino,10,3.08,10.772833723653397
accessoire,10,1.76,7.728337236533958
cathédrale,10,1.74,7.494145199063232
escogriffe,10,1.34,5.620608899297424
chambranle,10,1.25,5.152224824355972
champignon,10,1.17,4.800936768149883
eucalyptus,10,1.03,4.449648711943794
tintamarre,10,0.96,3.981264637002342
tourbillon,10,0.73,3.5128805620608903
choucroute,10,0.49,2.810304449648712
clandestin,10,0.29,2.34192037470726
apocalypse,10,0.09,0.702576112412178
hiérarchie,10,0.06,0.468384074941452
gingembre,9,386.9,92.7400468384075
acquiesça,9,207.68,89.22716627634661
phénomène,9,207.59,88.99297423887589
consensus,9,159.57,85.94847775175644
séquestre,9,154.25,85.48009367681499
bourgeron,9,152.7,84.77751756440281
piédestal,9,150.94,84.5433255269321
bourgogne,9,150.58,84.30913348946136
léthargie,9,116.78,78.68852459016394
pissenlit,9,116.56,78.22014051522248
sollicite,9,103.96,74.00468384074942
pochetron,9,68.9,64.8711943793911
copyright,9,66.74,63.23185011709602
manifeste,9,55.37,58.07962529274005
manigance,9,54.82,57.6112412177986
manoeuvre,9,53.44,56.67447306791569
cornichon,9,51.12,54.80093676814989
guilleret,9,46.5,53.395784543325526
guirlande,9,45.52,52.69320843091335
habitacle,9,43.63,51.52224824355972
hamburger,9,39.13,47.306791569086656
bachelier,9,38.96,47.07259953161593
bafouilla,9,38.71,46.604215456674474
pourliche,9,38.62,46.37002341920375
poussière,9,38.24,46.13583138173302
préalable,9,36.9,44.730679156908664
barricade,9,34.94,43.09133489461359
harmonica,9,33.32,41.21779859484778
hécatombe,9,31.65,39.34426229508197
primevère,9,31.07,38.641686182669794
privilège,9,30.27,36.885245901639344
processus,9,29.55,35.48009367681499
blasphème,9,28.97,34.66042154566745
protocole,9,24.25,28.103044496487122
horoscope,9,23.93,27.400468384074944
couvercle,9,21.34,23.653395784543328
hurricane,9,20.4,22.248243559718972
catalogue,9,17.73,21.07728337236534
nostalgie,9,17.49,20.843091334894613
bulldozer,9,14.39,18.501170960187356
crocodile,9,14.09,18.0327868852459
chirurgie,9,13.88,17.798594847775178
orchestre,9,12.65,17.56440281030445
cacahuète,9,10.23,17.330210772833723
cachemire,9,10.14,17.096018735363
